kind,word,devanagari,category,severity
word,fuck,फक,english_profanity,high
word,fuk,फक,english_profanity,high
word,fck,फक,english_profanity,high
word,phuck,फक,english_profanity,high
word,shit,सिट,english_profanity,medium
word,shitty,सिटि,english_profanity,medium
word,shithead,सिटहेड,english_profanity,medium
word,bullshit,बुल्सिट,english_profanity,medium
word,bitch,बिच,english_profanity,high
word,bastard,बास्टार्ड,english_profanity,high
word,ass,्यास,english_profanity,medium
word,asshole,्यासहोल,english_profanity,high
word,arsehole,आर्सहोल,english_profanity,high
word,dumbass,डम्यास,english_profanity,medium
word,dick,डिक,english_profanity,high
word,dickhead,डिकहेड,english_profanity,high
word,cunt,कन्ट,english_profanity,high
word,whore,होर,english_profanity,high
word,slut,स्लट,english_profanity,high
word,piss,पिस,english_profanity,low
word,cock,कक,english_profanity,high
word,pussy,पुसी,english_profanity,high
word,twat,ट्वाट,english_profanity,high
word,wanker,वाङ्कर,english_profanity,medium
word,retard,रिटार्ड,ableist_slur,high
word,idiot,इडियट,derogatory,low
word,stupid,स्टुपिड,derogatory,low
word,moron,मोरोन,derogatory,low
word,muji,मुजी,sexual_slang,high
word,mujhi,मुजी,sexual_slang,high
word,muzi,मुजी,sexual_slang,high
word,mji,मुजी,sexual_slang,high
word,mzi,मुजी,sexual_slang,high
word,mujj,मुजी,sexual_slang,high
word,machikne,माचिक्ने,sexual_expletive,high
word,machhikne,माचिक्ने,sexual_expletive,high
word,mchikne,मचिक्ने,sexual_expletive,high
word,mcikne,माचिक्ने,sexual_expletive,high
word,mcne,माचिक्ने,sexual_expletive,high
word,machikney,माचिक्ने,sexual_expletive,high
word,randi,रण्डी,gendered_slur,high
word,raandi,राण्डी,gendered_slur,high
word,rando,रण्डो,gendered_slur,high
word,rande,राण्डे,gendered_slur,high
word,radi,राडी,gendered_slur,high
word,lado,लाडो,anatomical,high
word,lodo,लोडो,anatomical,high
word,laado,लाडो,anatomical,high
word,puti,पुती,anatomical,high
word,puuti,पुती,anatomical,high
word,geda,गेडा,anatomical,medium
word,jatha,जाठा,anatomical,high
word,jantha,जांठा,anatomical,high
word,jathya,जाठ्या,anatomical,high
word,zatya,जाठ्या,anatomical,high
word,chikne,चिक्ने,sexual_expletive,high
word,chikney,चिक्ने,sexual_expletive,high
word,bhalu,भालु,gendered_slur,medium
word,khate,खाते,classist_slur,high
word,harami,हरामी,derogatory,medium
word,gandu,गाण्डु,anatomical_slur,high
word,chutiya,चुतिया,derogatory,high
word,chutia,चुतिया,derogatory,high
word,bhosdi, भोसडी,derogatory,high
word,bhosadi,भोसडी,derogatory,high
word,bhosdike,भोसडीके,derogatory,high
word,bsdk,भोसडीके,derogatory,high
word,kutta,कुत्ता,derogatory,low
word,kutti,कुत्ती,derogatory,low
word,kuttiya,कुत्तिया,derogatory,low
word,madarchod,मादरचोद,sexual_expletive,high
word,behenchod,बहनचोद,sexual_expletive,high
